Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
ClosePSDImport_Body,61,Are you sure you want to cancel the PSD import? (The data is not saved.),PSD 불러오기를 취소하시겠습니까? 데이터는 저장되지 않습니다.,Êtes-vous sûr de vouloir annuler l'importation PSD? (Les données ne sont pas sauvegardées.),Möchten Sie den PSD-Import wirklich abbrechen? (Die Daten werden nicht gespeichert.),¿Seguro que quieres cancelar la importación de PSD? (Los datos no se guardan),Annullare l'importazione PSD? (I dati non sono stati salvati).,Er du sikker på[c] at du vil annullere PSD-importen? (Dataene gemmes ikke.),PSDのインポートをキャンセルしてもよろしいですか？ (データは保存されません)。,你確定要取消PSD導入？ (數據不被保存),你确定要取消PSD导入？ (数据不被保存),Czy na pewno chcesz anulować importowanie PSD? (Dane nie są zapisywane.),
MeshEditChanged_Title,62,Mesh creation work is incomplete,미완료된 메시 수정 작업,Le travail de création de maillage est incomplet,Die Netzerstellungsarbeit ist unvollständig,El trabajo de creación de malla está incompleto,Il lavoro di creazione della maglia è incompleto,Mesh skabelse arbejde er ufuldstændig,メッシュ作成作業が不完全,網格劃分創建工作不完整,网格划分创建工作不完整,Tworzenie siatki jest niepełne,
MeshEditChanged_Body,63,Mesh creation work is not complete. Do you want to create Polygons?,메시 수정 작업이 완료되지 않았습니다. 폴리곤을 생성할까요?,Le travail de création de maillage n'est pas terminé. Voulez-vous créer des polygones?,Die Netzerstellungsarbeit ist nicht abgeschlossen. Möchten Sie Polygone erstellen?,El trabajo de creación de malla no está completo. ¿Quieres crear polígonos?,Il lavoro di creazione della maglia non è completo. Vuoi creare poligoni?,Mesh skabelse arbejde er ikke komplet. Vil du oprette polygoner?,メッシュの作成作業が完了していません。ポリゴンを作成しますか？,網格劃分創建工作不完整。你想創建多邊形嗎？,网格划分创建工作不完整。你想创建多边形吗？,Tworzenie siatki nie jest kompletne. Czy chcesz utworzyć wielokątów?,
MeshEditChanged_Okay,64,Make Polygons,폴리곤 생성,Faire des polygones,Machen Sie Polygone,Hacer polígonos,Crea poligoni,Lav polygoner,ポリゴンを作る,做多邊形,做多边形,Twórz wielokątów,
ControlParamDefaultAll_Title,65,Set to default,기본값으로 변경,Définir par défaut,Auf Standard setzen,Establecer como predeterminado,Imposta su predefinito,Indstillet til standard,デフォルト値に変更,設置為默認,设置为默认,Ustawiony na domyślny,
ControlParamDefaultAll_Body,66,Do you want to change all Control Parameter values to their default values?,모든 컨트롤 파라미터의 값을 기본값으로 변경할까요?,Voulez-vous modifier toutes les valeurs des paramètres de contrôle à leurs valeurs par défaut?,Möchten Sie alle Control Parameter-Werte auf ihre Standardwerte ändern?,¿Desea cambiar todos los valores del parámetro de control a sus valores predeterminados?,Vuoi cambiare tutti i valori dei parametri di controllo ai loro valori predefiniti?,Vil du ændre alle kontrolparameterværdier til deres standardværdier?,すべての制御パラメータ値をデフォルト値に変更しますか？,您是否要將所有控制參數值更改為默認值？,您是否要将所有控制参数值更改为默认值？,Czy chcesz zmienić wszystkie wartości parametrów sterowania na ich wartości domyślne?,
ControlParamDefaultAll_Okay,67,Set all values to default,기본값으로 변경,Définir toutes les valeurs par défaut,Setzen Sie alle Werte auf den Standardwert,Establecer todos los valores por defecto,Imposta tutti i valori come predefiniti,Indstil alle værdier som standard,すべての値をデフォルトに設定する,將所有值設置為默認值,将所有值设置为默认值,Ustaw wszystkie jako domyślne,
RemoveRecordKey_Title,68,Remove Record Key,레코드 키 삭제,Supprimer la clé d'enregistrement,Entfernen Sie den Datensatzschlüssel,Eliminar clave de grabación,Rimuovi la chiave di registrazione,Fjern Record Key,レコードキーを削除,刪除記錄密鑰,删除记录密钥,Usuń klucz rekordu,
RemoveRecordKey_Body,69,Remove Record Key?,레코드 키를 삭제하시겠습니까?,Supprimer la clé d'enregistrement?,Datensatzschlüssel entfernen?,¿Eliminar clave de grabación?,Rimuovere la chiave di registrazione?,Fjern Record Key?,レコードキーを削除しますか？,刪除記錄密鑰？,删除记录密钥？,Usunąć klucz rekordu?,
AdaptFFDTransformEdit_Title,70,Apply FFD Transformation,FFD 작업을 적용,Appliquer la transformation FFD,Wenden Sie FFD-Transformation an,Aplicar la transformación FFD,Applica trasformazione FFD,Anvend FFD Transformation,FFD変換を適用,應用FFD轉換,应用FFD转换,Zastosuj transformację FFD,
AdaptFFDTransformEdit_Body,71,Apply changed FFD Transformation?,변경된 FFD 작업을 적용하시겠습니까?,Appliquer la transformation FFD modifiée?,Geänderte FFD-Transformation anwenden?,¿Aplicar la transformación FFD modificada?,Applica la trasformazione FFD modificata?,Anvend ændret FFD Transformation?,変更されたFFD変換を適用しますか？,應用改變的FFD轉換？,应用改变的FFD转换？,Zastosuj zmienioną transformację FFD?,
AdaptFFDTransformEdit_Okay,72,Apply,적용,Appliquer,Sich bewerben,Aplicar,Applicare,Ansøge,適用,應用,应用,Zastosować,
AdaptFFDTransformEdit_No,73,Revert,되돌리기,Revenir,Zurückkehren,Revertir,Ritornare,Vende tilbage,元に戻す,還原,还原,Wróć,
RemoveImage_Title,74,Remove Image,이미지 삭제,Supprimer l'image,Entferne Bild,Quita la imagen,Rimuovi immagine,Fjern billede,イメージを削除,刪除圖像,删除图像,Usuń obraz,
RemoveImage_Body,75,Do you want to remove Image [ {0} ]?,이미지 [ {0} ]를 삭제하시겠습니까?,Voulez-vous supprimer Image [ {0} ]?,Möchten Sie Bild [ {0} ] entfernen?,¿Desea eliminar la imagen [ {0} ]?,Vuoi rimuovere l'immagine [ {0} ]?,Vil du fjerne billede [ {0} ]?,イメージ[ {0} ]を削除しますか？,你想刪除圖像[ {0} ]嗎？,你想删除图像[ {0} ]吗？,Czy chcesz usunąć obraz [ {0} ]?,
RemoveAnimClip_Title,76,Remove Animation Clip,애니메이션 클립 삭제,Supprimer le clip d'animation,Entfernen Sie den Animationsclip,Eliminar clip de animación,Rimuovi la clip di animazione,Fjern animationsklipset,アニメーションクリップを削除する,刪除動畫剪輯,删除动画剪辑,Usuń klip animacji,
RemoveAnimClip_Body,77,Do you want to remove Animation Clip [ {0} ]?,애니메이션 클립 [ {0} ]을 삭제하시겠습니까?,Voulez-vous supprimer le clip d'animation [ {0} ]?,Möchten Sie den Animationsclip [ {0} ] entfernen?,¿Desea eliminar el clip de animación [ {0} ]?,Vuoi eliminare la clip di animazione [ {0} ]?,Vil du fjerne animationsklippet [ {0} ]?,アニメーションクリップ [ {0} ]を削除しますか？,你想刪除動畫剪輯[ {0} ]？,你想删除动画剪辑[ {0} ]？,Czy chcesz usunąć klip animacji [ {0} ]?,
AnimClipMeshGroupChanged_Title,78,Another Mesh Group is already connected,다른 메시 그룹이 이미 연결됨,Un autre groupe de maillage est déjà connecté,Eine andere Netzgruppe ist bereits verbunden,Otro grupo de malla ya está conectado,Un altro gruppo di maglie è già connesso,En anden maskegruppe er allerede forbundet,別のメッシュグループがすでに接続されています,另一個網格劃分組已經連接,另一个网格划分组已经连接,Inna grupa siatki jest już połączona,
AnimClipMeshGroupChanged_Body,79,This is different from existing Mesh Group. Do you want to ignore this warning and connect selected Mesh Group?,기존에 연결된 메시 그룹과 다릅니다. 이 경고를 무시하고 선택된 메시 그룹을 연결하시겠습니까?,Ceci est différent du groupe de maillage existant. Voulez-vous ignorer cet avertissement et connecter le groupe de maillage sélectionné?,Dies unterscheidet sich von der bestehenden Netzgruppe. Möchten Sie diese Warnung ignorieren und die ausgewählte Netzgruppe verbinden?,Esto es diferente del grupo de malla existente. ¿Desea ignorar esta advertencia y conectar el grupo de malla seleccionado?,Questo è diverso dal gruppo di maglie esistente. Vuoi ignorare questo avviso e connettere il gruppo di maglie selezionato?,Dette adskiller sig fra eksisterende maskegruppe. Vil du ignorere denne advarsel og forbinde valgt maskegruppe?,これは既存のメッシュグループとは異なります。 この警告を無視して[c]選択したメッシュグループに接続しますか？,這與現有的網格劃分組不同。你想忽略這個警告[c]並連接選定的網格劃分組？,这与现有的网格划分组不同。 你想忽略这个警告[c]并连接选定的网格划分组？,To różni się od istniejącej grupy siatki. Czy chcesz zignorować to ostrzeżenie i połączyć wybraną grupę siatki?,
RemoveControlParam_Title,80,Remove Control Parameter,컨트롤 파라미터 삭제,Supprimer le paramètre de contrôle,Entfernen Sie den Steuerparameter,Eliminar parámetro de control,Rimuovi il parametro di controllo,Fjern kontrolparameter,制御パラメータを削除,刪除控制參數,删除控制参数,Usuń parametr kontrolny,
RemoveControlParam_Body,81,If you remove this data from other modifiers may not work properly. Are you sure you want to remove this Parameter [ {0} ]?,컨트롤 파라미터를 삭제하면 다른 모디파이어가 정상적으로 작동하지 않을 수 있습니다. 컨트롤 파라미터 [ {0} ]를 삭제하시겠습니까?,Si vous supprimez ces données d'autres modificateurs[c] elles peuvent ne pas fonctionner correctement. Êtes-vous sûr de vouloir supprimer ce paramètre [ {0} ]?,Wenn Sie diese Daten von anderen Modifier entfernen[c] funktioniert möglicherweise nicht richtig. Möchten Sie diesen Parameter [ {0} ] wirklich entfernen?,Si elimina esta los datos de otros modificadores pueden no funcionar correctamente. ¿Seguro que quieres eliminar este parámetro [ {0} ]?,Se rimuovi questi dati da altri modificatori potrebbe non funzionare correttamente. Sei sicuro di voler rimuovere questo parametro [{0}]?,Hvis du fjerner disse [c] data fra andre modifikatorer[c] fungerer det muligvis ikke korrekt. Er du sikker på[c] at du vil fjerne denne parameter [ {0} ]?,コントロールパラメータを削除すると[c]他のモディファイヤが正常に動作しない場合があります。コントロールパラメータ[ {0} ]を削除しますか？,如果刪除這個其他修飾符的數據可能無法正常工作。您確定要刪除此參數[ {0} ]嗎？,如果删除这个其他修饰符的数据可能无法正常工作。您确定要删除此参数[ {0} ]吗？,Usunięcie tych danych z innych modyfikatorów może nie działać poprawnie. Czy na pewno chcesz usunąć ten parametr [ {0} ]?,
ResetMeshVertices_Title,82,Reset Vertices,버텍스 리셋,Rétablir les sommets,Setze Vertices zurück,Restablecer vértices,Reimposta vertici,Nulstil vertikaler,頂点をリセットする,重置頂點,重置顶点,Zresetuj punkty,
ResetMeshVertices_Body,83,Do you want to reset all the vertices and make them the default shape?,모든 버텍스들을 초기화하여 기본 사각형 메시로 만드시겠습니까?,Voulez-vous réinitialiser tous les sommets et en faire la forme par défaut?,Möchten Sie alle Scheitelpunkte zurücksetzen und zur Standardform machen?,¿Deseas restablecer todos los vértices y convertirlos en la forma predeterminada?,Vuoi reimpostare tutti i vertici e renderli di default?,Vil du nulstille alle hjørnerne og gøre dem til standardformularen?,すべての頂点をリセットして[c]それらをデフォルトシェイプにしますか？,你想重置所有的頂點[c]並使其成為默認的形狀？,你想重置所有的顶点[c]并使其成为默认的形状？,Czy chcesz zresetować wszystkie punkty i nadać im domyślny kształt?,
ResetMeshVertices_Okay,84,Reset,리셋,Réinitialiser,Zurücksetzen,Reiniciar,Reset,Nulstil,リセット,重置,重置,Zresetuj,
RemoveMesh_Title,85,Remove Mesh,메시 삭제,Supprimer le maillage,Entfernen Sie das Netz,Eliminar malla,Rimuovi la maglia,Fjern Mesh,メッシュを削除,去除網格劃分,去除网格划分,Usuń siatkę,
RemoveMesh_Body,86,Do you want to remove Mesh [ {0} ]?,메시 [ {0} ]를 삭제하시겠습니까?,Voulez-vous supprimer le maillage [ {0} ]?,Möchten Sie das Netz [ {0} ] entfernen?,¿Quieres eliminar Mesh [ {0} ]?,Vuoi rimuovere la maglia [ {0} ]?,Vil du fjerne Mesh [ {0} ]?,メッシュ [ {0} ] を削除しますか？,你想刪除網格劃分 [ {0} ]嗎？,你想删除网格划分 [ {0} ]吗？,Czy chcesz usunąć siatkę [ {0} ]?,
RemoveMeshVertices_Title,87,Remove All Vertices,모든 버텍스 삭제,Supprimer tous les sommets,Entfernen Sie alle Scheitelpunkte,Eliminar todos los vértices,Rimuovi tutti i vertici,Fjern alle vertikaler,すべての頂点を削除,刪除所有的頂點,删除所有的顶点,Usuń wszystkie punkty,
RemoveMeshVertices_Body,88,Do you want to remove all Vertices of Mesh?,메시의 모든 버텍스들을 삭제하시겠습니까?,Voulez-vous supprimer tous les sommets de la maillage?,Möchten Sie alle Scheitelpunkte des Netzes entfernen?,¿Desea eliminar todos los vértices de malla?,Vuoi rimuovere tutti i Vertices of maglie?,Vil du fjerne alle Vertices of Mesh?,メッシュのすべての頂点を削除しますか？,你想刪除網格劃分的所有頂點？,你想删除网格划分的所有顶点？,Czy chcesz usunąć wszystkie pints siatki?,
RemoveMeshVertices_Okay,89,Remove All,삭제,Enlever tout,Alles entfernen,Eliminar todo,Rimuovi tutto,Fjern alt,すべて削除,移除所有,移除所有,Usuń wszystko,
RemoveMeshGroup_Title,90,Remove Mesh Group,메시 그룹 삭제,Supprimer le groupe de maillage,Entfernen Sie die Netzgruppe,Eliminar el grupo de malla,Rimuovi gruppo di maglie,Fjern mesh gruppe,メッシュグループを削除,去除網格劃分組,去除网格划分组,Usuń grupę siatki,
RemoveMeshGroup_Body,91,Do you want to remove Mesh Group [ {0} ]?,메시 그룹 [ {0} ]을 삭제하시겠습니까?,Voulez-vous supprimer le groupe de maillage [ {0} ]?,Möchten Sie die Netzgruppe [ {0} ] entfernen?,¿Desea eliminar el grupo de malla [ {0} ]?,Vuoi rimuovere gruppo di maglie [{0}]?,Vil du fjerne mesh gruppe [ {0} ]?,メッシュグループ[ {0} ]を削除しますか？,你想刪除網格劃分組[ {0} ]？,你想删除网格划分组[ {0} ]？,Czy chcesz usunąć grupę siatki [ {0} ]?,
RemoveBonesAll_Title,92,Remove All Bones,모든 본 삭제,Enlever tous les os,Entferne alle Knochen,Eliminar todos los huesos,Rimuovi tutte le ossa,Fjern alle knogler,すべての骨を取り除く,刪除所有的骨頭,删除所有的骨头,Usuń wszystkie kości,
RemoveBonesAll_Body,93,Do you want to remove all Bones of Mesh Group?,모든 본을 삭제하시겠습니까?,Voulez-vous supprimer tous les os du groupe de maillage?,Möchten Sie alle Knochen der Netzgruppe entfernen?,¿Desea eliminar todos los huesos del grupo de malla?,Vuoi eliminare tutte le ossa del gruppo di maglie?,Ønsker du at fjerne alle knogler i mesh-gruppen?,メッシュグループのボーンをすべて削除しますか？,你想刪除網格劃分組的所有骨骼？,你想删除网格划分组的所有骨骼？,Czy chcesz usunąć wszystkie kości z grupy siatki?,
RemoveKeyframes_Title,94,Remove Keyframes,키프레임 삭제,Supprimer les images clés,Entfernen Sie Keyframes,Eliminar fotogramas clave,Rimuovi i fotogrammi chiave,Fjern Keyframes,キーフレームを削除,刪除關鍵幀,删除关键帧,Usuń klatki kluczowe,
RemoveKeyframes_Body,95,Do you want to remove {0}s Keyframes?,{0}개의 키프레임을 삭제하시겠습니까?,Voulez-vous supprimer les images clés de {0} s?,Möchten Sie {0} s Keyframes entfernen?,¿Desea eliminar los fotogramas clave {0} s?,Vuoi rimuovere {0} s fotogrammi chiave?,Vil du fjerne {0} s Keyframes?,{0}のキーフレームを削除しますか？,你想刪除{0}的關鍵幀嗎？,你想删除{0}的关键帧吗？,Czy chcesz usunąć klatki kluczowe {0} s?,
DetachChildBone_Title,96,Detach Child Bone,자식 본 분리,Détacher l'os de l'enfant,Kinderknochen lösen,Separar el hueso del niño,Scollega l'osso del bambino,Løs barnets knogle,子供の骨を切り離す,分離兒童骨頭,分离儿童骨头,Odłącz Kość dziecka,
DetachChildBone_Body,97,Do you want to detach the Child Bone [ {0} ]?,자식 본 [ {0} ]을 분리하시겠습니까?,Voulez-vous détacher l'os de l'enfant [ {0} ]?,Möchten Sie den Knochen des Kindes [ {0} ] lösen?,¿Desea separar el hueso del niño [ {0} ]?,Vuoi staccare l'osso del bambino [{0}]?,Vil du løsne barnets knogle [ {0} ]?,子供の骨[ {0} ]を切り離してもよろしいですか？,你想分離孩子骨[ {0} ]？,你想分离孩子骨[ {0} ]？,Czy chcesz odłączyć kość dziecięcą [{0}]?,
RemoveModifier_Title,98,Remove Modifier,모디파이어 삭제,Supprimer le modificateur,Entfernen Sie den Modifikator,Eliminar el modificador,Rimuovi Modificatore,Fjern modifikatoren,モディファイヤを削除,刪除修飾符,删除修饰符,Usuń modyfikator,
RemoveModifier_Body,99,Do you want to remove Modifier [ {0} ]?,모디파이어 [ {0} ]를 삭제하시겠습니까?,Voulez-vous supprimer le modificateur [ {0} ]?,Möchten Sie den Modifikator [ {0} ] entfernen?,¿Desea eliminar el modificador [ {0} ]?,Vuoi rimuovere Modificatore [{0}]?,Vil du fjerne modifikatoren [ {0} ]?,モディファイヤ [ {0} ] を削除しますか？,你想刪除修飾符[ {0} ]？,你想删除修饰符[ {0} ]？,Czy chcesz usunąć modyfikator [ {0} ]?,
RemoveFromKeys_Title,100,Remove from Modifier Keys,모디파이어 키에서 제거,Supprimer des touches de modification,Entfernen Sie von den Modifikatortasten,Eliminar de las teclas modificadoras,Rimuovi dai tasti modificatori,Fjern fra modificatortaster,モディファイヤキーで削除,從修改鍵中刪除,从修改键中删除,Usuń z klawiszy modyfikujących,
RemoveFromKeys_Body,101,Do you want to remove [ {0} ] from Keys of Modifier?,선택된 객체 [ {0} ]를 모디파이어의 키로부터 제거하시겠습니까?,Voulez-vous supprimer [ {0} ] des clés du modificateur?,Möchten Sie [ {0} ] aus den Schlüsseln des Modifizierers entfernen?,¿Desea eliminar [ {0} ] de las teclas modificadoras?,Vuoi rimuovere [ {0} ] dai tasti di modifica?,Vil du fjerne [ {0} ] fra nøgler til modifikator?,選択したオブジェクト [ {0} ] をモディファイヤのキーから削除しますか？,你想從修改器的鍵中移除[ {0} ]嗎？,你想从修改器的键中移除[ {0} ]吗？,Czy chcesz usunąć [ {0} ] z klawiszy modyfikatora?,
RemoveFromRigging_Title,102,Remove from Rigging,리깅에서 제거,Retirer du Rigging,Vom Rigging entfernen,Eliminar de Rigging,Rimuovi da Rigging,Fjern fra Rigging,Riggingから削除,從索具中移除,从索具中移除,Usuń z Rigging,
RemoveFromRigging_Body,103,Do you want to remove [ {0} ] from Rigging modifier?,선택된 객체 [ {0} ]를 리깅 모디파이어로부터 제거하시겠습니까?,Voulez-vous supprimer [ {0} ] du modificateur Rigging?,Möchten Sie [ {0} ] aus dem Rigging-Modifikator entfernen?,¿Desea eliminar [ {0} ] del modificador Rigging?,Vuoi rimuovere [ {0} ] dal modificatore Rigging?,Ønsker du at fjerne [ {0} ] fra rigging modifier?,Riggingから[ {0} ]を削除しますか？,你是否想從修改器的索引中移除[ {0} ]？,你是否想从修改器的索引中移除[ {0} ]？,Czy chcesz usunąć [ {0} ] z modyfikatora Rigging?,
RemoveFromPhysics_Title,104,Remove from Physics,물리로부터 제거,Retirer de Physics,Aus der Physik entfernen,Eliminar de Física,Rimuovi dalla Physics,Fjern fra fysik,Physicsから削除,從物理效果中刪除,从物理效果中删除,Usuń z Physics,
RemoveFromPhysics_Body,105,Do you want to remove [ {0} ] from Physics modifier?,선택된 객체 [ {0} ]를 물리 모디파이어로부터 제거하시겠습니까?,Voulez-vous supprimer [ {0} ] du modificateur Physics?,Möchtest du [ {0} ] aus dem Physikmodifikator entfernen?,¿Desea eliminar [ {0} ] del modificador de Física?,Vuoi rimuovere [{0}] dal modificatore Physics?,Vil du fjerne [ {0} ] fra fysik modifikator?,Physicsから[ {0} ]を削除しますか？,你想從物理修改器中刪除[ {0} ]嗎？,你想从物理修改器中删除[ {0} ]吗？,Czy chcesz usunąć [ {0} ] z modyfikatora Physics?,
AddAllObjects2Timeline_Title,106,Add to Timelines,타임라인에 추가,Ajouter à Timeline,Zu Zeitleisten hinzufügen,Agregar a Timelines,Aggiungi alle Timelinee,Tilføj til tidslinjer,タイムラインに追加,添加到時間軸,添加到时间轴,Dodaj do osi czasu,
AddAllObjects2Timeline_Body,107,Do you want to add all [ {0} ] to Timeline Layers?,모든 {0}들을 타임라인 레이어에 추가하시겠습니까?,Voulez-vous ajouter tous les [ {0} ] aux calques Timeline?,Möchten Sie alle [ {0} ] zu Timeline-Layern hinzufügen?,¿Desea agregar todos [ {0} ] a las Capas de la Timeline?,Vuoi aggiungere tutti [ {0} ] ai strati di Timeline?,Vil du tilføje alle [ {0} ] til tidslinjelag?,[ {0} ]をタイムラインレイヤーに追加しますか？,是否要將所有[ {0} ]添加到時間軸層？,是否要将所有[ {0} ]添加到时间轴层？,Czy chcesz dodać wszystkie [ {0} ] do warstw osi czasu?,
RemoveTimeline_Title,108,Remove Animation Timeline,애니메이션 타임라인 삭제,Supprimer la Timeline de l'animation,Entfernen Sie die Animationszeitachse,Eliminar la Timeline de animación,Rimuovi la Timeline dell'animazione,Fjern animationens tidslinje,アニメーションのタイムラインを削除する,刪除動畫時間軸,删除动画时间轴,Usuń oś czasu animacji,
RemoveTimeline_Body,109,Do you want to remove Timeline [ {0} ]?,타임타임 [ {0} ]을 삭제하시겠습니까?,Voulez-vous supprimer la Timeline [ {0} ]?,Möchten Sie die Zeitleiste [ {0} ] entfernen?,¿Desea eliminar la Timeline [ {0} ]?,Vuoi rimuovere la Timeline [ {0} ]?,Vil du fjerne tidslinje [ {0} ]?,タイムライン[ {0} ]を削除しますか？,你想刪除時間軸[ {0} ]？,你想删除时间轴[ {0} ]？,Czy chcesz usunąć oś czasu [ {0} ]?,
RemoveTimelineLayer_Title,110,Remove Animation Timeline Layer,애니메이션 타임라인 레이어 삭제,Supprimer la couche d'animation de la Timeline,Entfernen Sie die Animationszeitachsenebene,Eliminar la capa de la Timeline de animación,Rimuovi strato di Timeline animazione,Fjern animationens tidslinjelag,アニメーションタイムラインレイヤーを削除する,刪除動畫時間軸圖層,删除动画时间轴图层,Usuń warstwę osi czasu animacji,
RemoveTimelineLayer_Body,111,Do you want to remove Timeline Layer [ {0} ]?,타임타임 레이어 [ {0} ]를 삭제하시겠습니까?,Voulez-vous supprimer la couche de Timeline [ {0} ]?,Möchten Sie die Zeitachsenebene [ {0} ] entfernen?,¿Desea eliminar la Capa de Timeline [ {0} ]?,Vuoi rimuovere il strato di Timeline [ {0} ]?,Vil du fjerne tidslinjelaget [ {0} ]?,タイムラインレイヤ[ {0} ]を削除しますか？,你想刪除時間軸層[ {0} ]？,你想删除时间轴层[ {0} ]？,Czy chcesz usunąć warstwę osi czasu [ {0} ]?,
DemoLimitation_Title,112,Demo Limitation,데모 기능 제한,Limitation de démonstration,Demo-Beschränkung,Limitación de demostración,Limitazione demo,Demo-begrænsning,デモの制限,演示限制,演示限制,Ograniczenie demo,
DemoLimitation_Body,113,This feature does not run in the demo version.,이 기능은 데모 버전에서 실행되지 않습니다.,Cette fonctionnalité ne fonctionne pas dans la version de démonstration.,Diese Funktion wird in der Demoversion nicht ausgeführt.,Esta característica no se ejecuta en la versión demo.,Questa funzione non viene eseguita nella versione demo.,Denne funktion kører ikke i demoversionen.,この機能はデモ版では動作しません。,此功能不能在演示版本中運行。,此功能不能在演示版本中运行。,Ta funkcja nie działa w wersji demonstracyjnej.,
DemoLimitation_Body_AddParam,114,In the demo version[c] you can not add more than 2 Parameters.,데모 버전에서는 3개 이상의 파라미터를 추가할 수 없습니다.,Dans la version de démonstration[c][c] vous ne pouvez pas ajouter plus de 2 paramètres.,In der Demoversion[c] können Sie nicht mehr als 2 Parameter hinzufügen.,En la versión de demostración[c][c] no puede agregar más de 2 parámetros.,Nella versione demo [c] non è possibile aggiungere più di 2 parametri.,I demoversionen[c] kan du ikke tilføje mere end 2 parametre.,デモバージョン[c]では[c]2つ以上のパラメータを追加することはできません。,在演示版本中[c]不能添加2個以上的參數。,在演示版本中[c]不能添加2个以上的参数。,W wersji demonstracyjnej[c] nie można dodać więcej niż 2 parametrów.,
DemoLimitation_Body_AddAnimation,115,In the demo version[c] you can not add more than 2 Animations.,데모 버전에서는 3개 이상의 애니메이션을 추가할 수 없습니다.,Dans la version de démonstration[c][c] vous ne pouvez pas ajouter plus de 2 animations.,In der Demoversion[c] können Sie nicht mehr als 2 Animationen hinzufügen.,En la versión demo[c] no puede agregar más de 2 animaciones.,Nella versione demo [c] non è possibile aggiungere più di 2 animazioni.,I demoversionen[c] kan du ikke tilføje mere end 2 animationer.,デモ版[c]では[c]2つ以上のアニメーションを追加することはできません。,在演示版中[c]您不能添加2個以上的動畫。,在演示版中[c]您不能添加2个以上的动画。,W wersji demonstracyjnej[c] nie można dodać więcej niż 2 animacji.,
BackupError_Title,116,Backup Error ,백업 실패,Erreur de sauvegarde,Sicherungsfehler,Error de respaldo,Errore di backup,Backup fejl,バックアップエラー,備份失敗,备份失败,Błąd kopii zapasowej,
BackupError_Body,117,The backup file is currently being saved. Please try again.,현재 백업 파일을 저장 중입니다. 다시 시도하세요.,Le fichier de sauvegarde est en cours d'enregistrement. Veuillez réessayer.,Die Sicherungsdatei wird gerade gespeichert. Bitte versuche es erneut.,El archivo de copia de seguridad se está guardando actualmente. Inténtalo de nuevo.,Il file di backup è attualmente in fase di salvataggio. Per favore riprova.,Backupfilen gemmes for øjeblikket. Prøv igen.,バックアップファイルは現在保存されています。もう一度お試しください。,備份文件當前正在保存。請再試一次。,备份文件当前正在保存。请再试一次。,Plik kopii zapasowej jest aktualnie zapisywany. Proszę spróbuj ponownie.,
RemoveKeyframe1_Title,118,Remove Keyframe,키프레임 삭제,Supprimer l'image clé,Entfernen den Schlüsselbild,Eliminar fotograma clave,Elimina fotogramma chiave,Fjern Keyframe,キーフレームを削除,刪除關鍵幀,删除关键帧,Usuń klatkę kluczową,
RemoveKeyframe1_Body,119,Do you want to remove the selected Keyframe?,선택된 키프레임을 삭제하시겠습니까?,Voulez-vous supprimer l'image clé sélectionnée?,Möchten Sie den ausgewählten Schlüsselbild löschen?,¿Desea eliminar el fotograma clave seleccionado?,Vuoi cancellare il fotogramma chiave selezionato?,Vil du fjerne den valgte keyframe?,選択したキーフレームを削除しますか？,你想刪除所選的關鍵幀？,你想删除所选的关键帧？,Czy chcesz usunąć wybraną klatkę kluczową?,
AddKeyframeToAllLayer_Title,120,Create Keyframes,키프레임 생성,Créer des images clés,Erstellen den Schlüsselbild,Crear fotogramas clave,Crea fotogrammi chiave,Opret keyframes,キーフレームを作成,創建關鍵幀,创建关键帧,Utwórz klatki kluczowe,
AddKeyframeToAllLayer_Body,121,Do you want to add keyframes to all Timeline layers?,모든 타임라인 레이어에 키프레임들을 추가하시겠습니까?,Voulez-vous ajouter des images clés à tous les calques?,Möchten Sie allen Ebenen der Zeitleiste Schlüsselbilds hinzufügen?,¿Desea agregar fotogramas clave a todas las capas de la Timeline?,Vuoi aggiungere fotogrammi chiave a tutti i strati di Timeline?,Vil du tilføje keyframes til alle tidslinjelag?,すべてのタイムラインレイヤーにキーフレームを追加しますか？,你想添加關鍵幀到所有的時間軸層？,你想添加关键帧到所有的时间轴层？,Czy chcesz dodać klatki kluczowe do wszystkich warstw osi czasu?,
BakeWarning_Title,122,Bake Result,Bake 결과,Résultat de l'exportation,Backen Ergebnis,Resultado de la exportación,Risultato dell'esportazione,Bage Resultat,ベーキング結果,烘焙結果,烘焙结果,Piec wynik,
